RUN,MoveNo,SpriteName,MovedToPile,ReactionTime
Control Run,25,cards_37,4,0.1826439
Control Run,26,cards_42,3,0.2315249
Control Run,27,cards_33,4,0.3482127
Control Run,28,cards_20,1,0.2409925
Control Run,29,cards_8,4,0.1603751
Control Run,30,cards_26,1,0.09216547
Control Run,31,cards_18,4,0.2019024
Control Run,32,cards_28,2,0.1704693
Control Run,33,cards_0,1,0.1387978
Control Run,34,cards_4,4,0.08289623
Control Run,35,cards_24,2,0.08265686
Control Run,36,cards_47,1,0.1319695
Control Run,37,cards_29,4,0.05025101
Control Run,38,cards_48,1,0.06870556
Control Run,39,cards_9,2,0.1276989
Control Run,40,cards_17,4,0
Control Run,41,cards_32,2,0.1280804
Control Run,42,cards_31,1,0.1161613
Control Run,43,cards_39,4,0.01675797
Control Run,44,cards_30,2,0.06591892
Control Run,45,cards_41,4,0.1315794
Control Run,46,cards_45,2,0.04969215
Control Run,47,cards_3,1,0.1212473
Control Run,48,cards_14,4,0.01614475
Control Run,49,cards_40,2,0.06674767
Control Run,50,cards_22,4,0.1795187
Control Run,51,cards_38,2,0.07521439
Control Run,52,cards_35,1,0.04420185
Final Run,1,cards_48,1,0
Final Run,2,cards_6,4,0.2496309
Final Run,3,cards_13,1,0.136631
Final Run,4,cards_24,4,0.1656094
Final Run,5,cards_25,2,0.1216822
Final Run,6,cards_16,3,0.1159048
Final Run,7,cards_11,4,0.0986805
Final Run,8,cards_8,1,0.1767492
Final Run,9,cards_28,4,0.2169971
Final Run,10,cards_23,2,0.1653633
Final Run,11,cards_0,1,0.083395
Final Run,12,cards_48,3,0.1188946
Final Run,13,cards_15,4,0.07652664
Final Run,14,cards_32,1,0.1376781
Final Run,15,cards_49,4,0.1879787
Final Run,16,cards_43,2,0.2018013
Final Run,17,cards_39,4,0.1428967
Final Run,18,cards_26,3,0.1009197
Final Run,19,cards_41,4,0.1998577
Final Run,20,cards_29,1,0.1900959
Final Run,21,cards_42,4,0.1325359
Final Run,22,cards_30,2,0.1676235
Final Run,23,cards_27,3,0.09940338
Final Run,24,cards_37,4,0.108799
Final Run,25,cards_44,1,0.2292385
Final Run,26,cards_36,4,0.1820946
Final Run,27,cards_47,1,0.1656246
Final Run,28,cards_19,3,0.04993629
Final Run,29,cards_34,4,0.0173378
Final Run,30,cards_38,1,0.2534657
Final Run,31,cards_50,3,0.1159496
Final Run,32,cards_5,1,0.1003304
Final Run,33,cards_18,3,0.3860664
Final Run,34,cards_22,4,0.03480911
Final Run,35,cards_46,1,0.2823124
Final Run,36,cards_20,4,0.1872272
Final Run,37,cards_17,2,0.2523232
Final Run,38,cards_2,3,0.03313255
Final Run,39,cards_35,4,0.08297157
Final Run,40,cards_3,1,0.1771088
Final Run,41,cards_45,4,0.1590767
Final Run,42,cards_40,2,0.1491947
Final Run,43,cards_9,3,0.09930611
Final Run,44,cards_7,4,0.01673698
Final Run,45,cards_4,3,0.1749477
Final Run,46,cards_31,1,0.1921368
Final Run,47,cards_1,4,0.01688766
Final Run,48,cards_12,2,0.1987438
Final Run,49,cards_33,3,0.01715469
Final Run,50,cards_14,4,0.01571465
Final Run,51,cards_21,1,0.1624336
Final Run,52,cards_10,1,0.2028294
